Wall time,Step,Value
1514488270.7461104,205,14.925612449645996
1514488271.4353888,479,12.710368156433105
1514488272.0917344,518,16.612060546875
1514488272.4943511,705,24.80431365966797
1514488273.0359528,958,25.7919979095459
1514488273.3054965,1017,19.04754066467285
1514488274.007803,1363,27.675325393676758
1514488276.1539528,2278,13.254149436950684
1514488276.2449489,2316,13.688940048217773
1514488276.5785189,2462,14.423261642456055
1514488277.1293163,2712,14.535773277282715
1514488278.6547883,3424,22.577638626098633
1514488278.814277,3486,12.462486267089844
1514488279.6061997,3803,17.25633430480957
1514488279.7248232,3868,19.727012634277344
1514488279.9610286,3982,18.767724990844727
1514488280.1481335,4071,15.940338134765625
1514488281.43029,4641,13.921342849731445
1514488281.521775,4680,14.75954818725586
1514488281.8881888,4837,22.463504791259766
1514488282.9565566,5286,18.624473571777344
1514488283.982141,5663,20.804950714111328
1514488286.646815,6652,11.523438453674316
1514488286.7082844,6688,26.14826774597168
1514488287.4289672,7040,16.862834930419922
1514488287.5488925,7090,18.796489715576172
1514488288.2798512,7394,24.172714233398438
1514488288.429379,7459,17.801586151123047
1514488288.451065,7467,12.280527114868164
1514488288.8347552,7669,13.966029167175293
1514488289.8296251,8108,25.343128204345703
1514488292.4204907,9209,20.899608612060547
1514488293.8727877,9949,13.1968412399292
1514488295.0763507,10419,17.999670028686523
1514488295.5278919,10625,16.868186950683594
1514488295.5933902,10653,16.619140625
1514488298.1567624,11774,20.626340866088867
1514488299.1520202,12221,23.41167640686035
1514488299.7811186,12524,19.800254821777344
1514488299.8704064,12561,19.45235252380371
1514488300.062124,12643,27.27861213684082
1514488300.3098562,12749,1.5142483711242676
1514488300.4673624,12808,27.148786544799805
1514488301.389487,13241,20.617504119873047
1514488302.094443,13569,18.011760711669922
1514488305.8042672,15152,16.97749900817871
1514488306.4212751,15421,30.105802536010742
1514488306.8926957,15654,23.24810791015625
1514488308.3899033,16327,20.580480575561523
1514488308.6599631,16437,13.785144805908203
1514488309.2778807,16698,14.322657585144043
1514488309.622582,16849,37.256900787353516
1514488309.7750814,16905,21.26734733581543
1514488310.7049077,17317,20.688995361328125
1514488310.8169045,17365,13.633940696716309
1514488311.1049185,17485,18.125438690185547
1514488311.2053,17530,21.47722053527832
1514488311.7519143,17772,18.86799430847168
1514488312.1622412,17935,18.9624080657959
1514488312.2333038,17974,24.23938751220703
1514488313.824141,18676,38.957523345947266
1514488314.086944,18788,23.588973999023438
1514488319.8906229,21207,23.363021850585938
1514488320.0876193,21288,23.450618743896484
1514488324.6971483,23150,19.070743560791016
1514488324.885335,23264,39.58235549926758
1514488326.282195,24012,22.939037322998047
1514488327.2614467,24441,16.668025970458984
1514488327.4318132,24513,59.44959259033203
1514488328.2472003,24859,25.225120544433594
1514488328.3021922,24884,22.119152069091797
1514488328.646285,25079,16.183197021484375
1514488330.3395011,25820,39.52942657470703
1514488330.7151608,25997,17.16291618347168
1514488331.542548,26371,39.9078483581543
1514488336.8184695,28801,24.23875617980957
1514488337.2555087,28985,49.657981872558594
1514488337.9219418,29280,32.196258544921875
1514488338.556566,29578,22.30903434753418
1514488339.1197503,29837,39.58942413330078
1514488340.2348251,30400,18.53337860107422
1514488340.9317906,30784,42.95039749145508
1514488341.8166115,31164,70.14624786376953
1514488349.6561618,34461,23.34121322631836
1514488350.1616557,34677,24.555723190307617
1514488350.2298295,34705,29.13547706604004
1514488352.0660431,35486,50.661903381347656
1514488353.154069,35964,43.431121826171875
1514488354.1647434,36401,19.50790023803711
1514488356.8638299,37612,42.90436553955078
1514488357.9818456,38096,19.290546417236328
1514488358.2106063,38196,19.98753547668457
1514488360.1039662,39024,56.232818603515625
1514488360.840895,39372,68.34503173828125
1514488361.8639867,39724,52.88533401489258
1514488364.298169,40784,46.198577880859375
1514488364.7983682,41003,36.71466827392578
1514488366.093036,41634,21.40621566772461
1514488366.4835582,41809,27.601085662841797
1514488366.9546056,42016,54.359291076660156
1514488367.0770404,42073,36.80830383300781
1514488373.1760585,44783,73.91278839111328
1514488373.896338,45086,17.64316177368164
1514488373.9780216,45121,16.305803298950195
1514488376.646564,46294,15.873446464538574
1514488377.800755,46793,35.015464782714844
1514488378.816067,47242,52.46775817871094
1514488382.012728,48664,14.802896499633789
1514488383.2847586,49279,47.1755485534668
1514488384.212297,49689,43.14031219482422
1514488384.9415207,50006,27.989086151123047
1514488389.1870704,51898,53.825439453125
1514488389.7906268,52165,56.10475540161133
1514488393.419877,53754,24.967653274536133
1514488395.635753,54711,20.0626220703125
1514488395.8102028,54788,18.676834106445312
1514488398.1506398,55803,45.44746780395508
1514488398.827321,56087,41.604881286621094
1514488401.232667,57238,51.086612701416016
1514488407.0084236,59671,46.67938232421875
1514488408.2187545,60193,57.1170768737793
1514488411.3454359,61471,16.60591697692871
1514488413.2299197,62271,19.178081512451172
1514488414.5845025,62856,15.276447296142578
1514488415.1492257,63098,55.24846267700195
1514488415.4936757,63247,62.51240921020508
1514488415.6539783,63328,22.45411491394043
1514488416.0562015,63519,59.15378952026367
1514488416.9550767,63897,30.20578384399414
1514488418.1080709,64392,37.98835754394531
1514488419.634818,65069,21.584012985229492
1514488419.894689,65217,55.387298583984375
1514488420.3475618,65452,64.08580017089844
1514488421.6805844,66081,17.967073440551758
1514488421.8573318,66160,67.99713897705078
1514488425.3252833,67681,15.3504056930542
1514488426.3519862,68238,57.87217330932617
1514488427.246941,68661,12.445517539978027
1514488428.7457557,69300,5.188981533050537
1514488430.2304192,69969,64.24386596679688
1514488431.2800684,70451,58.6530876159668
1514488434.9413776,72057,51.377655029296875
1514488437.1648219,73007,54.39052963256836
1514488437.8336759,73298,54.57331848144531
1514488439.0845656,73892,97.20860290527344
1514488440.4864476,74520,17.184904098510742
1514488440.802634,74670,54.84100341796875
1514488441.4696653,74961,25.078527450561523
1514488441.7540781,75082,61.450843811035156
1514488445.9429543,76935,31.557363510131836
1514488447.691118,77756,50.032562255859375
1514488448.5781486,78159,41.67287826538086
1514488448.8814108,78304,58.622554779052734
1514488450.9902995,79202,58.54383087158203
1514488452.4495802,79853,45.48760223388672
1514488452.661624,79947,15.790335655212402
1514488454.7215145,80836,44.96612548828125
1514488455.2531767,81074,12.85352897644043
1514488456.3686917,81590,51.86749267578125
1514488458.401864,82470,39.78972625732422
1514488459.1151092,82782,58.06517028808594
1514488462.3313768,84237,45.326759338378906
1514488463.8811295,84942,18.164884567260742
1514488464.270386,85111,52.96102523803711
1514488464.3836052,85159,9.08548355102539
1514488465.3107002,85557,40.935123443603516
1514488465.962039,85830,60.654022216796875
1514488466.8287816,86213,53.86922073364258
1514488468.769331,87043,13.3460054397583
1514488472.8269715,88856,22.282108306884766
1514488473.4033062,89110,57.07269287109375
1514488474.3872175,89541,44.12517166137695
1514488475.5994473,90062,15.553858757019043
1514488478.729708,91463,47.048500061035156
1514488479.2929628,91710,42.65043640136719
1514488480.350534,92199,62.927650451660156
1514488481.2259321,92596,57.047576904296875
1514488481.787215,92844,22.287723541259766
1514488483.8798523,93754,21.206560134887695
1514488484.4654214,94013,21.140117645263672
1514488484.544419,94047,31.601057052612305
1514488484.7174895,94125,41.26457214355469
1514488485.0740952,94285,20.14530372619629
1514488486.4824097,94885,50.28683853149414
1514488486.793673,95040,52.78212356567383
1514488487.1250846,95201,35.0195198059082
1514488488.8289523,95927,67.0984878540039
1514488489.6583922,96280,17.10651206970215
1514488490.3049326,96548,19.312673568725586
1514488490.9065537,96817,27.888822555541992
1514488491.38618,97035,58.790802001953125
1514488492.6421173,97594,51.509029388427734
1514488495.7357647,98949,69.8042221069336
1514488497.0138516,99488,74.36843872070312
1514488502.0483131,101678,27.515161514282227
1514488502.197283,101749,65.2511215209961
1514488502.4038572,101846,15.334155082702637
1514488509.3523576,105012,11.189107894897461
1514488510.9411128,105683,10.20937728881836
1514488512.2469432,106296,15.928525924682617
1514488512.523093,106415,48.385128021240234
1514488513.381669,106781,16.952482223510742
1514488517.2334337,108600,45.10579299926758
1514488517.359367,108652,53.36282730102539
1514488518.7943606,109288,47.548465728759766
1514488519.0372434,109398,51.774662017822266
1514488519.8432927,109757,18.06410789489746
1514488522.15431,110827,74.6195068359375
1514488523.0354934,111197,23.669973373413086
1514488524.3709114,111787,60.53087615966797
1514488526.5930297,112767,54.670616149902344
1514488527.06384,112983,51.4990234375
1514488527.5171459,113187,41.67673110961914
1514488531.251288,114791,16.71515464782715
1514488534.1348112,116037,20.70572853088379
1514488534.820754,116342,12.948504447937012
1514488536.648087,117175,63.571292877197266
1514488537.3018427,117456,22.496152877807617
1514488540.0429735,118668,29.38188934326172
1514488542.7277632,119820,47.77429962158203
1514488543.43929,120136,72.8984375
1514488543.8339927,120315,17.68852424621582
1514488545.126094,120893,24.744556427001953
1514488546.1398227,121322,47.33259201049805
1514488547.7200322,122023,18.21320915222168
1514488549.0735688,122689,30.69321632385254
1514488549.4031272,122834,52.023292541503906
1514488551.2021904,123630,51.37217330932617
1514488555.8237987,125769,18.30818748474121
1514488555.948349,125825,55.339210510253906
1514488556.0845058,125887,58.532142639160156
1514488560.5765746,127892,68.50296783447266
1514488565.7068624,130190,50.78559875488281
1514488566.632141,130655,55.482994079589844
1514488567.5409298,131093,65.28034210205078
1514488568.1901333,131373,53.59103012084961
1514488570.318253,132296,47.430389404296875
1514488570.6031675,132423,56.13566970825195
1514488575.906498,134721,46.9174690246582
1514488576.706166,135068,54.641380310058594
1514488579.5368056,136374,47.73725891113281
1514488581.1534822,137092,55.81584548950195
1514488582.9007664,137892,13.406206130981445
1514488583.342479,138084,64.32369995117188
1514488584.4792132,138580,60.47822189331055
1514488584.8418403,138733,24.446441650390625
1514488587.3182619,139813,54.20499801635742
1514488587.7747736,140009,16.989377975463867
1514488587.9083822,140057,15.591632843017578
1514488590.77304,141311,52.259769439697266
1514488592.7403889,142213,58.23725509643555
1514488594.2994487,142886,53.091163635253906
1514488596.1325517,143673,18.689924240112305
1514488596.731953,143955,45.45370101928711
1514488598.298185,144630,49.056156158447266
1514488600.3712242,145576,42.1328239440918
1514488600.5177245,145641,55.47189712524414
1514488604.2151024,147254,55.25115966796875
1514488605.2643437,147707,43.771541595458984
1514488605.7532952,147917,65.94877624511719
1514488605.7907271,147933,15.282211303710938
1514488606.0027971,148037,40.52338790893555
1514488606.1077747,148085,54.02204513549805
1514488608.9142816,149458,33.46232223510742
1514488612.0779831,150891,14.785445213317871
1514488614.359542,151963,39.085205078125
1514488616.0545585,152697,49.42234420776367
1514488619.1586847,154134,55.66495132446289
1514488622.3302877,155614,57.05863571166992
1514488622.8059468,155835,56.11187744140625
1514488625.6299472,157102,15.364296913146973
1514488626.6527016,157581,18.62189483642578
1514488627.7887013,158122,48.86276626586914
1514488627.9505532,158214,57.73269271850586
1514488628.7667577,158601,51.03425598144531
1514488629.4444149,158903,54.171531677246094
1514488631.463373,159826,59.110713958740234
1514488633.3513494,160691,63.44563293457031
1514488634.6889951,161277,59.826045989990234
1514488634.9503567,161392,53.07367706298828
1514488637.5286577,162549,57.83987808227539
