Wall time,Step,Value
1508542770.640424,2012,21.17894744873047
1508542783.138993,4073,40.189998626708984
1508542795.3457506,6073,59.83000183105469
1508542807.457438,8073,79.5
1508542820.124484,10221,98.51000213623047
1508542832.5770724,12221,118.22000122070312
1508542844.9268827,14232,135.82000732421875
1508542858.083189,16411,155.32000732421875
1508542869.4233038,18411,174.77999877929688
1508542878.8311672,20411,194.33999633789062
1508542890.3627121,22411,213.97000122070312
1508542902.1340315,24411,233.41000366210938
1508542914.4752169,26419,252.94000244140625
1508542926.778664,28419,272.6099853515625
1508542938.6835918,30419,292.2799987792969
1508542950.6655486,32466,310.7900085449219
1508542962.6476326,34466,330.3399963378906
1508542974.2872036,36466,349.8900146484375
1508542986.3222892,38556,369.3800048828125
1508542998.4824853,40567,388.489990234375
1508543010.5003815,42567,408.05999755859375
1508543023.1712565,44701,428.6199951171875
1508543035.4151278,46705,446.92999267578125
1508543047.7483752,48705,461.4100036621094
1508543063.8261738,51511,480.760009765625
1508543075.7409706,53511,494.3800048828125
1508543087.6155002,55511,494.3800048828125
1508543098.9537187,57520,477.1700134277344
1508543110.211991,59551,433.8299865722656
1508543122.488484,61605,306.9100036621094
1508543135.0025282,63671,241.0399932861328
1508543146.3583431,65673,159.67999267578125
1508543158.297346,67711,100.61000061035156
1508543170.4105072,69726,106.73999786376953
1508543182.9735854,71817,111.04000091552734
1508543195.5648232,73912,111.81999969482422
1508543207.752425,75990,111.45999908447266
1508543219.9408135,78049,115.37000274658203
1508543231.870507,80176,120.27999877929688
1508543242.22091,82194,125.63999938964844
1508543253.2349906,84201,132.19000244140625
1508543265.4661276,86203,137.8699951171875
1508543278.8212059,88527,155.63999938964844
1508543291.1627882,90559,144.66000366210938
1508543303.1054883,92559,162.11000061035156
1508543314.981624,94559,179.6999969482422
1508543327.3912601,96629,169.82000732421875
1508543339.4976432,98661,81.91000366210938
1508543351.0748484,100665,14.90999984741211
1508543363.484036,102703,32.7400016784668
1508543376.1841705,104837,51.04999923706055
1508543389.2534769,107007,70.79000091552734
1508543401.8347588,109107,89.30999755859375
1508543413.58887,111107,109.08999633789062
1508543425.6129081,113107,128.83999633789062
1508543437.1907384,115107,148.6300048828125
1508543448.560574,117146,158.7899932861328
1508543461.5008476,119326,171.8800048828125
1508543477.283974,122075,193.72000122070312
1508543488.7485766,124075,212.00999450683594
1508543500.7206702,126075,229.1199951171875
1508543512.5709486,128075,246.02999877929688
1508543524.2748497,130097,257.739990234375
1508543536.5254605,132259,275.989990234375
1508543549.3249846,134423,286.1400146484375
1508543561.298489,136423,303.7300109863281
1508543573.162168,138423,320.6199951171875
1508543584.705822,140423,337.4800109863281
1508543598.1545713,142746,355.6300048828125
1508543610.9265046,144877,363.7699890136719
1508543622.8915236,146920,314.1600036621094
1508543634.928967,148985,320.6199951171875
1508543647.2600102,151063,222.05999755859375
1508543659.018733,153114,218.5500030517578
1508543670.6724734,155114,225.2100067138672
1508543682.0092692,157114,240.7899932861328
1508543693.5344446,159114,253.14999389648438
1508543705.3215766,161114,266.9100036621094
1508543717.107197,163114,266.9100036621094
1508543728.7963808,165114,266.9100036621094
1508543740.9116113,167114,266.9100036621094
1508543752.714914,169114,273.67999267578125
1508543766.189195,171496,279.4200134277344
1508543780.9282432,174214,293.3699951171875
1508543792.9402215,176214,311.3299865722656
1508543804.4643755,178214,330.0899963378906
1508543816.5370233,180214,346.67999267578125
1508543828.3735769,182214,364.5899963378906
1508543840.436027,184422,381.739990234375
1508543852.661213,186422,399.7200012207031
1508543865.3684936,188548,415.70001220703125
1508543877.3937364,190548,434.0299987792969
1508543889.0075176,192548,452.260009765625
1508543900.9578924,194548,469.6400146484375
1508543912.996262,196548,488.30999755859375
1508543925.2349129,198548,506.29998779296875
1508543937.532655,200659,519.3300170898438
1508543949.600547,202659,538.0800170898438
1508543961.5991035,204659,556.739990234375
1508543973.5185168,206867,572.4199829101562
1508543988.8292634,209684,598.3099975585938
1508544004.5460439,212464,623.9299926757812
1508544017.3015823,214688,639.0499877929688
1508544029.2041347,216770,657.0700073242188
1508544042.1114144,219126,671.5499877929688
1508544053.381383,221126,686.1199951171875
1508544065.273535,223181,580.6699829101562
1508544076.642194,225194,499.79998779296875
1508544088.2615218,227194,499.79998779296875
1508544100.9458737,229374,439.5199890136719
1508544112.3445804,231374,443.6199951171875
1508544124.0577483,233374,453.6700134277344
1508544137.0266237,235693,411.45001220703125
1508544147.3128312,237693,411.45001220703125
1508544160.008872,239967,408.9800109863281
1508544173.8598118,242470,422.5799865722656
1508544186.6634564,244699,397.4599914550781
1508544197.1920784,246774,401.7200012207031
1508544210.4758816,249455,363.5299987792969
1508544221.768041,251506,291.989990234375
1508544234.971537,253811,309.17999267578125
1508544246.5863614,255901,325.94000244140625
1508544257.4722679,258029,302.0400085449219
1508544269.0340989,260137,260.8900146484375
1508544280.6058207,262142,126.87000274658203
