Wall time,Step,Value
1513699898.8598816,224,-10.511727333068848
1513699906.3671706,565,-0.5187616348266602
1513699907.3762438,687,4.644388675689697
1513699909.8028936,963,1.7142332792282104
1513699910.0244067,990,-2.708035707473755
1513699914.6041548,1039,-3.4586005210876465
1513699915.7679195,1186,-3.792592763900757
1513699916.278922,1243,-0.6367146968841553
1513699918.6875281,1523,-1.2752639055252075
1513699923.3574598,1572,0.03385300189256668
1513699926.5950394,1934,5.034492015838623
1513699932.1867487,2083,5.392111778259277
1513699932.8658297,2168,-3.763166666030884
1513699940.979014,2607,-0.9738740921020508
1513699943.67284,2918,-0.33567485213279724
1513699950.5940742,3191,-6.232948303222656
1513699951.6507583,3302,-2.7250490188598633
1513699952.1508842,3361,-1.3243354558944702
1513699958.1794026,3574,-1.618761420249939
1513699959.5247655,3744,-8.384904861450195
1513699960.1989105,3815,-3.1573565006256104
1513699960.5136378,3850,-12.171464920043945
1513699960.6316385,3863,-0.022390758618712425
1513699961.0607777,3911,-1.5397160053253174
1513699961.9904828,4010,-1.1316701173782349
1513699967.4294436,4131,-4.341096878051758
1513699967.9624865,4192,-4.445016860961914
1513699969.1814039,4334,-4.342039585113525
1513699969.8892784,4411,-5.68347692489624
1513699970.5142846,4475,-2.8431477546691895
1513699976.6491785,4672,-7.242088794708252
1513699977.4665785,4765,-7.933459281921387
1513699978.1152425,4834,-6.658759117126465
1513699979.2098565,4963,1.9107903242111206
1513699979.705995,5029,-8.805317878723145
1513699979.9281976,5057,-2.381761074066162
1513699986.168963,5429,-6.351942539215088
1513699987.0787096,5526,-0.9517500996589661
1513699992.2269416,5642,-10.699409484863281
1513699993.0342946,5734,-23.0311279296875
1513699993.4329123,5778,-2.686650037765503
1513699994.864535,5937,-13.017016410827637
1513700001.0538356,6181,-4.12275505065918
1513700003.2470114,6435,-3.121811866760254
1513700009.0189216,6694,4.734059810638428
1513700018.8735082,7261,-17.03383445739746
1513700019.6658738,7348,-4.30534553527832
1513700021.374374,7534,-14.279728889465332
1513700038.290185,8561,0.7343612909317017
1513700038.4422653,8578,1.2170379161834717
1513700045.332161,8875,-2.8103864192962646
1513700045.6742418,8913,-2.2272329330444336
1513700045.8216875,8931,-6.173346519470215
1513700046.3041182,8992,0.29296255111694336
1513700052.892432,9256,-2.4151992797851562
1513700053.32517,9308,-3.1836390495300293
1513700053.471638,9325,-7.594028472900391
1513700055.004092,9491,-6.266691207885742
1513700063.2067695,10020,-6.226302146911621
1513700063.9044926,10113,-12.98784351348877
1513700072.8419118,10638,-6.600542068481445
1513700073.3101442,10691,1.8703886270523071
1513700078.7147496,10812,-1.4547648429870605
1513700079.7027428,10923,9.332060813903809
1513700079.9411376,10949,-5.806536674499512
1513700080.342891,10994,-2.0427050590515137
1513700081.0944114,11079,-2.2451014518737793
1513700081.7687397,11161,-1.4894741773605347
1513700087.3926454,11353,-4.98403263092041
1513700088.3813214,11462,-2.1317267417907715
1513700089.4063218,11575,-4.737636089324951
1513700090.1411738,11652,-8.163263320922852
1513700095.1357203,11746,-2.603564500808716
1513700095.4667606,11800,-2.9947526454925537
1513700096.1583488,11885,-8.436430931091309
1513700096.2530892,11896,-1.4366873502731323
1513700097.0614333,11988,-0.5754712820053101
1513700098.3253126,12125,-2.9139180183410645
