Wall time,Step,Value
1513697571.8770149,102,4.454902172088623
1513697572.2689779,268,-3.4661476612091064
1513697572.3809505,319,-0.011894960887730122
1513697572.6780796,445,2.730475664138794
1513697573.682396,709,1.7835310697555542
1513697573.7689302,745,1.4625593423843384
1513697573.8692038,788,1.1771516799926758
1513697573.9039667,802,1.1628458499908447
1513697573.9995017,842,10.138922691345215
1513697574.2472417,943,8.944292068481445
1513697574.287791,959,3.1242661476135254
1513697574.3492842,984,2.218400239944458
1513697574.9434311,1160,7.941837787628174
1513697575.1922526,1265,-1.483535647392273
1513697575.2323043,1282,5.982456207275391
1513697575.277669,1302,-2.6156373023986816
1513697575.3141274,1317,2.5007498264312744
1513697575.5176225,1404,7.1024956703186035
1513697575.8596947,1544,5.012060165405273
1513697576.1301239,1649,1.9599579572677612
1513697576.5283334,1825,4.337957859039307
1513697576.63338,1871,1.3523346185684204
1513697576.6944678,1899,2.2537155151367188
1513697577.0123274,2032,1.4288549423217773
1513697577.2521195,2127,5.3752055168151855
1513697577.593004,2279,1.6313196420669556
1513697577.698547,2326,1.0625044107437134
1513697577.733363,2341,0.16925649344921112
1513697578.1576686,2523,12.025422096252441
1513697578.4912903,2575,-2.254206657409668
1513697578.5357358,2597,6.459197521209717
1513697578.837162,2753,13.692501068115234
1513697579.0506449,2859,8.374956130981445
1513697579.1303332,2899,15.105462074279785
1513697579.18554,2927,7.9232916831970215
1513697579.7759714,3099,8.79765510559082
1513697579.8296552,3125,-0.24418897926807404
1513697579.9531057,3180,14.677411079406738
1513697580.19544,3295,7.859964370727539
1513697580.2299786,3309,1.8869962692260742
1513697580.4816608,3422,-1.02178156375885
1513697580.593519,3477,18.589502334594727
1513697580.627974,3494,3.317986488342285
1513697580.8063982,3575,6.5335588455200195
1513697580.873779,3590,2.784879446029663
1513697581.1898134,3733,3.4240126609802246
1513697581.52661,3874,3.330385446548462
1513697581.5908453,3901,8.103801727294922
1513697581.6682491,3933,-4.335360527038574
1513697581.847775,4005,10.978931427001953
1513697582.3816657,4244,10.45817756652832
1513697582.6333425,4364,7.09636926651001
1513697582.9190826,4486,17.909934997558594
1513697583.062346,4550,13.989738464355469
1513697583.872346,4827,4.448319911956787
1513697584.242439,4991,10.35312557220459
1513697584.4972212,5099,9.822755813598633
1513697584.8735082,5152,4.788020610809326
1513697585.192636,5299,19.000164031982422
1513697585.4000866,5396,4.489029884338379
1513697585.482344,5435,3.2640914916992188
1513697585.667356,5526,5.499948024749756
1513697586.5663886,5844,8.466533660888672
1513697586.8251867,5960,7.005812168121338
1513697586.8689828,5979,-0.26636484265327454
1513697587.1499343,6096,12.702957153320312
1513697587.358892,6179,2.385746955871582
1513697587.389074,6194,4.327254295349121
1513697587.5295255,6259,25.620922088623047
1513697587.984451,6470,15.849771499633789
1513697588.0268083,6488,-0.013899979181587696
1513697588.3505402,6628,9.328171730041504
1513697588.4390054,6653,8.545013427734375
1513697588.4855084,6674,5.484591960906982
1513697588.6596594,6751,3.258176326751709
1513697589.1190722,6944,9.288250923156738
1513697589.554475,7126,6.320949077606201
1513697590.4676673,7502,4.6805243492126465
1513697590.671145,7587,6.708665370941162
1513697591.2620792,7748,29.278345108032227
1513697591.5021076,7850,10.670292854309082
1513697591.649322,7911,6.132567405700684
1513697592.637422,8238,7.718812942504883
1513697592.6950603,8268,12.007847785949707
1513697593.5833354,8667,0.03957012668251991
1513697594.3184478,8987,18.032798767089844
1513697594.4358308,9038,14.948626518249512
1513697594.5892935,9101,20.411426544189453
1513697595.0171764,9281,13.353618621826172
1513697595.5766325,9522,4.750505447387695
1513697595.6803193,9567,11.055451393127441
1513697595.7407482,9594,7.0859551429748535
1513697595.936592,9686,14.162091255187988
1513697596.3002377,9845,13.36860179901123
1513697596.8817708,10094,13.053831100463867
1513697597.0712857,10175,10.439261436462402
1513697597.1336966,10201,10.831734657287598
1513697597.9332526,10467,0.697467565536499
1513697597.991913,10493,11.556315422058105
1513697599.0891051,10944,6.512624263763428
1513697599.211883,10998,10.841919898986816
1513697599.3616881,11062,13.581608772277832
1513697600.2111325,11459,10.547540664672852
1513697600.5337112,11623,17.040241241455078
1513697600.7211025,11706,27.636837005615234
1513697601.0512838,11832,13.163500785827637
1513697601.721487,12159,37.18527603149414
1513697602.4021707,12355,9.772662162780762
1513697602.537594,12425,28.029953002929688
1513697602.7933629,12535,25.82538604736328
1513697603.4783926,12833,11.226175308227539
1513697603.789706,12968,4.372101783752441
1513697603.8509526,12997,8.528072357177734
1513697604.6900668,13353,0.9554476737976074
1513697605.151016,13552,23.77338409423828
1513697605.6530695,13764,8.354901313781738
1513697605.8039858,13829,20.875085830688477
1513697606.4880972,14019,5.063072204589844
1513697606.8895416,14196,39.067867279052734
1513697607.0551991,14266,6.907915115356445
1513697607.6309676,14500,8.577667236328125
1513697607.7785609,14562,1.8726142644882202
1513697607.8896632,14609,25.70060157775879
1513697608.135535,14714,40.719093322753906
1513697608.2367144,14756,5.9740495681762695
1513697608.3066063,14785,10.553763389587402
1513697608.8608155,15012,2.6413559913635254
1513697609.0215743,15082,12.764971733093262
1513697610.134832,15546,27.826139450073242
1513697611.108468,15978,40.80137634277344
1513697611.2431695,16026,3.04331374168396
1513697611.7713819,16291,18.33078956604004
1513697612.298406,16511,19.767698287963867
1513697612.4717848,16578,7.968238353729248
1513697613.878442,17177,20.28944969177246
1513697614.8591244,17597,23.18415069580078
1513697615.2054822,17635,25.861997604370117
1513697615.3933344,17722,15.024898529052734
1513697615.5467277,17790,22.429885864257812
1513697615.6878006,17853,38.33768844604492
1513697615.7911522,17898,29.34681510925293
1513697615.9794474,17981,28.836437225341797
1513697616.7108252,18190,14.197539329528809
1513697617.068555,18369,22.609336853027344
1513697617.882405,18705,10.23707103729248
1513697618.0742192,18797,19.70266342163086
1513697618.4977572,18996,32.445919036865234
1513697618.8105662,19131,-3.4855310916900635
1513697618.8981836,19170,0.3185202479362488
1513697619.171257,19277,33.7645263671875
1513697619.2560704,19317,22.79070281982422
1513697619.4529662,19409,23.230844497680664
1513697619.5935361,19471,23.29583168029785
1513697619.8835886,19593,26.974807739257812
1513697619.9939482,19640,35.538246154785156
1513697620.6585667,19933,19.577259063720703
1513697620.7180586,19960,10.480772972106934
1513697621.4057648,20259,15.242513656616211
1513697621.6015499,20330,13.6369047164917
1513697621.830511,20447,16.738039016723633
1513697622.052185,20564,19.010526657104492
1513697622.243585,20645,12.717287063598633
1513697622.4552555,20735,24.143402099609375
1513697622.7481248,20852,17.072172164916992
1513697623.0866852,20994,18.68853759765625
1513697623.2529144,21061,7.294739723205566
1513697623.3126702,21085,6.472044467926025
1513697623.366867,21107,11.747187614440918
1513697623.420173,21129,7.848814487457275
1513697623.8736477,21312,17.091495513916016
1513697624.4719162,21568,3.0359597206115723
1513697624.6602278,21649,10.34158992767334
1513697624.7166724,21675,7.90913200378418
1513697624.967815,21789,13.07325267791748
1513697625.2742746,21934,11.599265098571777
1513697625.4450803,22015,13.673437118530273
1513697625.4964924,22038,6.6679301261901855
1513697625.5499089,22063,16.59200668334961
1513697625.700687,22129,22.401872634887695
1513697625.8654358,22200,9.709898948669434
1513697626.607342,22527,24.187183380126953
1513697626.6623518,22555,3.4780356884002686
1513697626.8362985,22642,21.806949615478516
1513697626.9127703,22677,23.420717239379883
1513697626.9834776,22707,9.539725303649902
1513697627.3753507,22884,21.375049591064453
1513697627.4162953,22905,8.921241760253906
1513697627.8164074,23110,19.713300704956055
1513697628.3981397,23356,14.419142723083496
1513697628.5048976,23387,13.104896545410156
1513697628.7415106,23487,32.515174865722656
1513697628.8888109,23550,19.532968521118164
1513697629.134548,23652,5.821169376373291
1513697629.2852237,23718,22.357666015625
1513697629.353066,23745,18.261634826660156
