Wall time,Step,Value
1513825017.8024967,129,26.30354118347168
1513825018.4350066,295,20.421125411987305
1513825018.564946,331,19.428579330444336
1513825018.8777323,417,24.220535278320312
1513825022.4487743,625,29.506940841674805
1513825022.703759,694,32.3492431640625
1513825022.8783908,734,33.14875411987305
1513825023.000707,764,24.797443389892578
1513825023.0700057,781,29.32422637939453
1513825023.18787,811,30.263824462890625
1513825023.540428,905,29.351530075073242
1513825023.586837,918,25.924257278442383
1513825023.6346202,931,26.764432907104492
1513825023.6882088,946,26.906742095947266
1513825028.489054,1578,89.79600524902344
1513825031.5403578,1689,27.253314971923828
1513825031.6505563,1719,24.89300537109375
1513825031.704032,1733,21.696060180664062
1513825031.7673717,1749,23.581287384033203
1513825032.1832771,1854,25.946775436401367
1513825032.799079,2014,22.959936141967773
1513825035.5402672,2146,20.09639549255371
1513825036.0763044,2289,19.44640350341797
1513825036.3053455,2353,30.46769905090332
1513825036.3747964,2371,24.727819442749023
1513825037.0304008,2523,26.880002975463867
1513825040.2286036,2751,91.80191040039062
1513825045.1580493,3388,86.99407958984375
1513825045.8309689,3578,71.58795166015625
1513825046.0348983,3634,57.047630310058594
1513825049.5888684,3991,54.31334686279297
1513825049.925305,4074,59.70614242553711
1513825050.101499,4121,58.67854309082031
1513825050.2446623,4160,44.158424377441406
1513825053.6084661,4435,47.33332443237305
1513825054.4414382,4661,73.35078430175781
1513825057.1067898,4767,59.48147201538086
1513825057.3205035,4826,78.43106079101562
1513825058.1938012,5065,69.33356475830078
1513825061.0191257,5215,20.929765701293945
1513825061.046515,5222,20.436723709106445
1513825061.2203588,5267,23.917133331298828
1513825061.554125,5359,27.379478454589844
1513825061.591796,5369,21.825193405151367
1513825061.6722066,5391,24.703983306884766
1513825061.7772057,5420,18.82352638244629
1513825061.8715038,5445,27.716615676879883
1513825061.905738,5453,19.837234497070312
1513825061.9919882,5475,25.840316772460938
1513825062.0666728,5495,22.03553581237793
1513825062.1106124,5507,24.526081085205078
1513825062.4501731,5597,27.298879623413086
1513825062.7883687,5681,20.547149658203125
1513825065.0829577,5704,17.374622344970703
1513825065.1545472,5723,24.721080780029297
1513825065.500575,5808,24.47664451599121
1513825066.488843,6063,23.773090362548828
1513825067.004645,6201,28.37405014038086
1513825069.400828,6245,23.16788101196289
1513825069.5016105,6272,25.81182098388672
1513825069.6794686,6318,25.754249572753906
1513825070.356801,6503,28.119091033935547
1513825070.675802,6591,25.373075485229492
1513825070.8701222,6644,27.971384048461914
1513825071.0154483,6680,25.64618682861328
1513825071.0666525,6694,25.925373077392578
1513825073.4708312,6744,43.65441131591797
1513825073.8286424,6843,26.365198135375977
1513825074.1765847,6939,32.869781494140625
1513825074.3335524,6983,29.241317749023438
1513825074.676338,7076,30.249467849731445
1513825085.4413586,8323,29.021987915039062
1513825085.782005,8410,28.021989822387695
1513825085.8385417,8424,24.216154098510742
1513825086.1075232,8492,30.928714752197266
1513825086.1650543,8507,25.78956413269043
1513825086.4150817,8575,26.307945251464844
1513825086.4827104,8593,30.126420974731445
